P07244	SGD	S0003203	ADE5,7		GO:0004641	SGD_REF:24084	IEA		F	aminoimidazole ribotide synthetase, glycinamide ribotide synthetase	YGL234W	gene	taxon:4932	20010207
P07244	SGD	S0003203	ADE5,7		GO:0005737	SGD_REF:32779|PMID:11914276	IDA		C	aminoimidazole ribotide synthetase, glycinamide ribotide synthetase	YGL234W	gene	taxon:4932	20020507
P07260	SGD	S0005499	CDC33		GO:0006413	SGD_REF:20085|PMID:9841679	TAS		P	mRNA cap binding protein eIF-4E	YOL139C|eIF-4E|TIF45	gene	taxon:4932	20010124
P07260	SGD	S0005499	CDC33		GO:0003743	SGD_REF:20085|PMID:9841679	TAS		F	mRNA cap binding protein eIF-4E	YOL139C|eIF-4E|TIF45	gene	taxon:4932	20010124
P07260	SGD	S0005499	CDC33		GO:0005840	SGD_REF:20085|PMID:9841679	TAS		C	mRNA cap binding protein eIF-4E	YOL139C|eIF-4E|TIF45	gene	taxon:4932	20010124
P07260	SGD	S0005499	CDC33		GO:0003743	SGD_REF:6330|PMID:3062383	ISS		F	mRNA cap binding protein eIF-4E	YOL139C|eIF-4E|TIF45	gene	taxon:4932	20010118
P07260	SGD	S0005499	CDC33		GO:0005634	SGD_REF:18839|PMID:8119957	IDA		C	mRNA cap binding protein eIF-4E	YOL139C|eIF-4E|TIF45	gene	taxon:4932	20010118
P07260	SGD	S0005499	CDC33		GO:0005737	SGD_REF:18839|PMID:8119957	IDA		C	mRNA cap binding protein eIF-4E	YOL139C|eIF-4E|TIF45	gene	taxon:4932	20010118
P07260	SGD	S0005499	CDC33		GO:0006413	SGD_REF:6330|PMID:3062383	ISS		P	mRNA cap binding protein eIF-4E	YOL139C|eIF-4E|TIF45	gene	taxon:4932	20010118
P07260	SGD	S0005499	CDC33		GO:0000074	SGD_REF:17001|PMID:2540596	IMP		P	mRNA cap binding protein eIF-4E	YOL139C|eIF-4E|TIF45	gene	taxon:4932	20010118
P12687	SGD	S0004950	MRP7		GO:0003735	SGD_REF:19551|PMID:9445368	TAS		F	ribosomal protein (YmL2) (E. coli L27)	YNL005C	gene	taxon:4932	20010118
P12687	SGD	S0004950	MRP7		GO:0000048	SGD_REF:19551|PMID:9445368	ISS		F	ribosomal protein (YmL2) (E. coli L27)	YNL005C	gene	taxon:4932	20010118
P12687	SGD	S0004950	MRP7		GO:0005762	SGD_REF:19551|PMID:9445368	TAS		C	ribosomal protein (YmL2) (E. coli L27)	YNL005C	gene	taxon:4932	20010118
P12687	SGD	S0004950	MRP7		GO:0006412	SGD_REF:19551|PMID:9445368	TAS		P	ribosomal protein (YmL2) (E. coli L27)	YNL005C	gene	taxon:4932	20010118
P15442	SGD	S0002691	GCN2		GO:0004672	SGD_REF:1635|PMID:2188100	IDA		F	eukaryotic initiation factor 2 alpha (eIF2-alpha) kinase	YDR283C|AAS1	gene	taxon:4932	20020802
P15442	SGD	S0002691	GCN2		GO:0006468	SGD_REF:1635|PMID:2188100	IDA		P	eukaryotic initiation factor 2 alpha (eIF2-alpha) kinase	YDR283C|AAS1	gene	taxon:4932	20020802
P15442	SGD	S0002691	GCN2		GO:0008652	SGD_REF:6078|PMID:6351059	IMP		P	eukaryotic initiation factor 2 alpha (eIF2-alpha) kinase	YDR283C|AAS1	gene	taxon:4932	20020802
P15442	SGD	S0002691	GCN2		GO:0005830	SGD_REF:15751|PMID:2038314	IDA		C	eukaryotic initiation factor 2 alpha (eIF2-alpha) kinase	YDR283C|AAS1	gene	taxon:4932	20020802
P15442	SGD	S0002691	GCN2		GO:0006446	SGD_REF:15895|PMID:7934812	IDA		P	eukaryotic initiation factor 2 alpha (eIF2-alpha) kinase	YDR283C|AAS1	gene	taxon:4932	20020802
P19735	SGD	S0000259	PRP6		GO:0006371	SGD_REF:24083	IEA		P	RNA splicing factor	YBR055C|TSM7269|RNA6	gene	taxon:4932	20010119
P19735	SGD	S0000259	PRP6		GO:0006371	SGD_REF:17566|PMID:10377396	IPI		P	RNA splicing factor	YBR055C|TSM7269|RNA6	gene	taxon:4932	20020620
P19735	SGD	S0000259	PRP6		GO:0030532	SGD_REF:17566|PMID:10377396	IDA		C	RNA splicing factor	YBR055C|TSM7269|RNA6	gene	taxon:4932	20020620
P19735	SGD	S0000259	PRP6		GO:0008248	SGD_REF:17566|PMID:10377396	IPI		F	RNA splicing factor	YBR055C|TSM7269|RNA6	gene	taxon:4932	20020620
P19736	SGD	S0002188	PRP9		GO:0006371	SGD_REF:24083	IEA		P	RNA splicing factor	YDL030W	gene	taxon:4932	20010119
P19736	SGD	S0002188	PRP9		GO:0005686	SGD_REF:33428|PMID:11804584	IDA		C	RNA splicing factor	YDL030W	gene	taxon:4932	20020621
